"","Year","Partner.ISO","Reporter.ISO","Reporter.x","Partner.x","Import","Reporter.y","Partner.y","Export","DIF","Disc"
"47",2010,"CAN","KOR","Rep. of Korea","Canada",4350.863363,"Canada","Rep. of Korea",3603.394195,0.171797895184786,747.469168000001
"48",2010,"CAN","LAO","Lao People's Dem. Rep.","Canada",0.639436,"Canada","Lao People's Dem. Rep.",2.707293,-3.23387641609168,-2.067857
"49",2010,"CAN","MMR","Myanmar","Canada",4.247748,"Canada","Myanmar",2.669311,0.371593842195912,1.578437
"50",2010,"CAN","MYS","Malaysia","Canada",891.544715,"Canada","Malaysia",763.512632,0.143607023681364,128.032083
"51",2010,"CAN","NZL","New Zealand","Canada",376.379135,"Canada","New Zealand",312.199015,0.170519866889008,64.18012
"52",2010,"CAN","PHL","Philippines","Canada",459.458595,"Canada","Philippines",652.01843,-0.419101605880286,-192.559835
"53",2010,"CAN","RUS","Russian Federation","Canada",1212.589268,"Canada","Russian Federation",1155.951243,0.0467083343838402,56.638025
"54",2010,"CAN","SGP","Singapore","Canada",1055.165693,"Canada","Singapore",810.819531,0.231571367057325,244.346162
"55",2010,"CAN","THA","Thailand","Canada",912.574736,"Canada","Thailand",633.399429,0.305920486275658,279.175307
"56",2010,"CAN","USA","USA","Canada",280426.517803,"Canada","USA",289418.958592,-0.0320670129895391,-8992.44078900001
"57",2010,"CAN","VNM","Viet Nam","Canada",349.31542,"Canada","Viet Nam",257.170456,0.263787278557586,92.144964
"58",2010,"CHN","AUS","Australia","China",38004.358372,"China","Australia",27220.263744,0.283759418392004,10784.094628
"59",2010,"CHN","BRN","Brunei Darussalam","China",199.166231,"China","Brunei Darussalam",367.609052,-0.845739863400839,-168.442821
"60",2010,"CHN","CAN","Canada","China",43240.159894,"China","Canada",22216.134152,0.486215263623882,21024.025742
"61",2010,"CHN","HKG","China, Hong Kong SAR","China",197089.548282,"China","China, Hong Kong SAR",218301.359503,-0.107625246523218,-21211.811221
"62",2010,"CHN","IDN","Indonesia","China",20424.217014,"China","Indonesia",21953.565243,-0.074879160750774,-1529.348229
"63",2010,"CHN","IND","India","China",41249.115786,"China","India",40913.958297,0.0081252042041046,335.157489000005
"64",2010,"CHN","JPN","Japan","China",153203.23377,"China","Japan",121043.964529,0.209912470185061,32159.269241
"65",2010,"CHN","KHM","Cambodia","China",1186.280549,"China","Cambodia",1347.34197,-0.135770093453669,-161.061421
"66",2010,"CHN","KOR","Rep. of Korea","China",71573.124941,"China","Rep. of Korea",68766.31113,0.0392160299457896,2806.813811
"67",2010,"CHN","LAO","Lao People's Dem. Rep.","China",179.722402,"China","Lao People's Dem. Rep.",483.622848,-1.69094360312411,-303.900446
"68",2010,"CHN","MMR","Myanmar","China",964.027359,"China","Myanmar",3475.524257,-2.60521330079803,-2511.496898
"69",2010,"CHN","MYS","Malaysia","China",20679.866301,"China","Malaysia",23802.061384,-0.150977527492478,-3122.195083
"70",2010,"CHN","NZL","New Zealand","China",4887.414544,"China","New Zealand",2764.51206,0.434361044042431,2122.902484
"71",2010,"CHN","PHL","Philippines","China",4954.295254,"China","Philippines",11540.27732,-1.32934791495977,-6585.982066
"72",2010,"CHN","RUS","Russian Federation","China",38960.930034,"China","Russian Federation",29612.073703,0.239954650026104,9348.856331
"73",2010,"CHN","SGP","Singapore","China",33671.882082,"China","Singapore",32347.238005,0.0393397694187137,1324.644077
"74",2010,"CHN","THA","Thailand","China",24239.367066,"China","Thailand",19741.222106,0.185571881796759,4498.14496
"75",2010,"CHN","USA","USA","China",382964.820324,"China","USA",283780.322735,0.258991145727398,99184.497589
"76",2010,"CHN","VNM","Viet Nam","China",20203.64286,"China","Viet Nam",23101.555926,-0.143435175828484,-2897.913066
"77",2010,"HKG","AUS","Australia","China, Hong Kong SAR",1091.843464,"China, Hong Kong SAR","Australia",4900.67191,-3.48843819795032,-3808.828446
"78",2010,"HKG","BRN","Brunei Darussalam","China, Hong Kong SAR",28.738394,"China, Hong Kong SAR","Brunei Darussalam",10.580673,0.631827965056085,18.157721
"79",2010,"HKG","CAN","Canada","China, Hong Kong SAR",341.923432,"China, Hong Kong SAR","Canada",3074.510608,-7.99181021322926,-2732.587176
"80",2010,"HKG","CHN","China","China, Hong Kong SAR",12260.25472,"China, Hong Kong SAR","China",210291.123255,-16.1522638034555,-198030.868535
"81",2010,"HKG","IDN","Indonesia","China, Hong Kong SAR",1860.416825,"China, Hong Kong SAR","Indonesia",2822.775822,-0.517281387734171,-962.358997
"82",2010,"HKG","IND","India","China, Hong Kong SAR",7772.479052,"China, Hong Kong SAR","India",9923.839111,-0.276792004791112,-2151.360059
"83",2010,"HKG","JPN","Japan","China, Hong Kong SAR",1523.306261,"China, Hong Kong SAR","Japan",16496.751683,-9.82956993308124,-14973.445422
"84",2010,"HKG","KHM","Cambodia","China, Hong Kong SAR",553.302746,"China, Hong Kong SAR","Cambodia",586.85088,-0.0606325094941784,-33.548134
"85",2010,"HKG","KOR","Rep. of Korea","China, Hong Kong SAR",1945.894396,"China, Hong Kong SAR","Rep. of Korea",7630.885044,-2.92153092155778,-5684.990648
