"","Year","Partner.ISO","Reporter.ISO","Reporter.x","Partner.x","Import","Reporter.y","Partner.y","Export","DIF"
"46",2015,"CAN","KOR","Rep. of Korea","Canada",3981.373979,"Canada","Rep. of Korea",3144.959813,0.210081788450851
"47",2015,"CAN","LAO","Lao People's Dem. Rep.","Canada",1.285165,"Canada","Lao People's Dem. Rep.",4.535019,-2.52874455809176
"48",2015,"CAN","MMR","Myanmar","Canada",10.400287,"Canada","Myanmar",18.619726,-0.790308863591937
"49",2015,"CAN","MYS","Malaysia","Canada",693.429391,"Canada","Malaysia",616.986667,0.110238655863377
"50",2015,"CAN","NZL","New Zealand","Canada",448.69292,"Canada","New Zealand",357.687493,0.202823407599121
"51",2015,"CAN","PHL","Philippines","Canada",394.191395,"Canada","Philippines",572.522368,-0.452396920029165
"52",2015,"CAN","RUS","Russian Federation","Canada",815.445156,"Canada","Russian Federation",469.799768,0.423873249423043
"53",2015,"CAN","SGP","Singapore","Canada",1338.598058,"Canada","Singapore",1171.143561,0.125096922111327
"54",2015,"CAN","THA","Thailand","Canada",927.118434,"Canada","Thailand",696.212589,0.24905754921059
"55",2015,"CAN","USA","USA","Canada",301942.70509,"Canada","USA",313544.845513,-0.0384249734383936
"56",2015,"CAN","VNM","Viet Nam","Canada",448.310549,"Canada","Viet Nam",513.764238,-0.146000778134712
"57",2015,"CHN","AUS","Australia","China",46292.722371,"China","Australia",40306.50877,0.129312196267594
"58",2015,"CHN","BRN","Brunei Darussalam","China",336.71149,"China","Brunei Darussalam",1407.408747,-3.17986551929071
"59",2015,"CHN","CAN","Canada","China",51368.522083,"China","Canada",29422.642319,0.427224278100514
"60",2015,"CHN","HKG","China, Hong Kong SAR","China",261119.604179,"China","China, Hong Kong SAR",330462.787176,-0.265560999201977
"61",2015,"CHN","IDN","Indonesia","China",29411.071328,"China","Indonesia",34341.96472,-0.167654327753293
"62",2015,"CHN","IND","India","China",61604.426747,"China","India",58228.027086,0.0548077441718004
"63",2015,"CHN","JPN","Japan","China",160559.698699,"China","Japan",135616.442813,0.155351910150012
"64",2015,"CHN","KHM","Cambodia","China",3926.204044,"China","Cambodia",3763.390571,0.0414684186495123
"65",2015,"CHN","KOR","Rep. of Korea","China",90248.76426,"China","Rep. of Korea",101286.384153,-0.122302172040843
"66",2015,"CHN","LAO","Lao People's Dem. Rep.","China",713.284278,"China","Lao People's Dem. Rep.",1225.758347,-0.718471000702472
"67",2015,"CHN","MMR","Myanmar","China",6434.884217,"China","Myanmar",9650.911459,-0.499780125569896
"68",2015,"CHN","MYS","Malaysia","China",33242.589492,"China","Malaysia",43980.386746,-0.323013261544625
"69",2015,"CHN","NZL","New Zealand","China",7146.236998,"China","New Zealand",4919.059557,0.31165737179208
"70",2015,"CHN","PHL","Philippines","China",11477.931152,"China","Philippines",26670.79121,-1.32365840645008
"71",2015,"CHN","RUS","Russian Federation","China",35199.263948,"China","Russian Federation",34756.87725,0.0125680667258708
"72",2015,"CHN","SGP","Singapore","China",42146.576849,"China","Singapore",51942.439609,-0.232423686390854
"73",2015,"CHN","THA","Thailand","China",41065.237403,"China","Thailand",38290.804015,0.0675616059581653
"74",2015,"CHN","USA","USA","China",504028.116963,"China","USA",409979.244393,0.186594496229074
"75",2015,"CHN","VNM","Viet Nam","China",49441.123233,"China","Viet Nam",66017.019778,-0.335265371437521
"76",2015,"HKG","AUS","Australia","China, Hong Kong SAR",903.757748,"China, Hong Kong SAR","Australia",4694.629627,-4.19456639502027
"77",2015,"HKG","BRN","Brunei Darussalam","China, Hong Kong SAR",27.972867,"China, Hong Kong SAR","Brunei Darussalam",22.497678,0.195732135715656
"78",2015,"HKG","CAN","Canada","China, Hong Kong SAR",252.860338,"China, Hong Kong SAR","Canada",2719.228207,-9.75387397053942
"79",2015,"HKG","CHN","China","China, Hong Kong SAR",12745.81319,"China, Hong Kong SAR","China",287492.808677,-21.5558624146915
"80",2015,"HKG","IDN","Indonesia","China, Hong Kong SAR",1817.366992,"China, Hong Kong SAR","Indonesia",3173.057708,-0.745964200938893
"81",2015,"HKG","IND","India","China, Hong Kong SAR",5958.813661,"China, Hong Kong SAR","India",13272.848672,-1.22743140280922
"82",2015,"HKG","JPN","Japan","China, Hong Kong SAR",1879.519336,"China, Hong Kong SAR","Japan",15945.60431,-7.48387351200946
"83",2015,"HKG","KHM","Cambodia","China, Hong Kong SAR",714.281221,"China, Hong Kong SAR","Cambodia",1032.362056,-0.445315970304643
"84",2015,"HKG","KOR","Rep. of Korea","China, Hong Kong SAR",1492.735067,"China, Hong Kong SAR","Rep. of Korea",7252.438972,-3.85849038609073
"85",2015,"HKG","LAO","Lao People's Dem. Rep.","China, Hong Kong SAR",23.715116,"China, Hong Kong SAR","Lao People's Dem. Rep.",22.850761,0.0364474287201463
"86",2015,"HKG","MMR","Myanmar","China, Hong Kong SAR",36.33705,"China, Hong Kong SAR","Myanmar",259.993089,-6.15504117698052
"87",2015,"HKG","MYS","Malaysia","China, Hong Kong SAR",2962.748162,"China, Hong Kong SAR","Malaysia",3790.919274,-0.279528014774278
"88",2015,"HKG","NZL","New Zealand","China, Hong Kong SAR",76.571574,"China, Hong Kong SAR","New Zealand",582.903478,-6.61253096351395
"89",2015,"HKG","PHL","Philippines","China, Hong Kong SAR",1900.711728,"China, Hong Kong SAR","Philippines",3330.073265,-0.752013846152266
"90",2015,"HKG","RUS","Russian Federation","China, Hong Kong SAR",192.390124,"China, Hong Kong SAR","Russian Federation",1654.346253,-7.59891463555583
"91",2015,"HKG","SGP","Singapore","China, Hong Kong SAR",3680.607681,"China, Hong Kong SAR","Singapore",9776.405484,-1.65619330592273
"92",2015,"HKG","THA","Thailand","China, Hong Kong SAR",1572.199128,"China, Hong Kong SAR","Thailand",8693.581151,-4.52956746774127
"93",2015,"HKG","USA","USA","China, Hong Kong SAR",6934.425817,"China, Hong Kong SAR","USA",44348.74915,-5.39544647536317
"94",2015,"HKG","VNM","Viet Nam","China, Hong Kong SAR",1320.362482,"China, Hong Kong SAR","Viet Nam",9927.905218,-6.51907552156575
"95",2015,"IDN","AUS","Australia","Indonesia",4213.360223,"Indonesia","Australia",3702.29601,0.121296111880059
"96",2015,"IDN","BRN","Brunei Darussalam","Indonesia",86.339435,"Indonesia","Brunei Darussalam",91.229766,-0.056640757493954
"97",2015,"IDN","CAN","Canada","Indonesia",1307.959547,"Indonesia","Canada",722.344686,0.447731630800964
"98",2015,"IDN","CHN","China","Indonesia",19886.194033,"Indonesia","China",15046.433812,0.243372875320873
"99",2015,"IDN","HKG","China, Hong Kong SAR","Indonesia",2379.932363,"Indonesia","China, Hong Kong SAR",2067.293111,0.131364763495172
"100",2015,"IDN","IND","India","Indonesia",13902.02496,"Indonesia","India",11731.001096,0.156166016839032
"101",2015,"IDN","JPN","Japan","Indonesia",19753.818551,"Indonesia","Japan",18020.877343,0.0877268971326191
"102",2015,"IDN","KHM","Cambodia","Indonesia",335.539429,"Indonesia","Cambodia",429.715881,-0.280671789543994
"103",2015,"IDN","KOR","Rep. of Korea","Indonesia",8850.393948,"Indonesia","Rep. of Korea",7664.446245,0.133999425332699
"104",2015,"IDN","LAO","Lao People's Dem. Rep.","Indonesia",8.526212,"Indonesia","Lao People's Dem. Rep.",7.745233,0.0915974174697978
"105",2015,"IDN","MMR","Myanmar","Indonesia",587.824903,"Indonesia","Myanmar",615.670386,-0.0473703697442707
"106",2015,"IDN","MYS","Malaysia","Indonesia",7981.13235,"Indonesia","Malaysia",7630.889322,0.0438838767032851
"107",2015,"IDN","NZL","New Zealand","Indonesia",634.575472,"Indonesia","New Zealand",436.25363,0.31252680059465
"108",2015,"IDN","PHL","Philippines","Indonesia",3108.900199,"Indonesia","Philippines",3921.676834,-0.261435421845138
