"","Year","Partner.ISO","Reporter.ISO","Reporter.x","Partner.x","Import","Reporter.y","Partner.y","Export","DIF","Disc"
"1",2005,"AUS","CHN","China","Australia",16193.626752,"Australia","China",12302.482046,0.240288649700996,3891.144706
"2",2005,"AUS","HKG","China, Hong Kong SAR","Australia",1746.870691,"Australia","China, Hong Kong SAR",2034.92005,-0.164894494185546,288.049359
"3",2005,"AUS","IDN","Indonesia","Australia",2567.140472,"Australia","Indonesia",2749.269948,-0.070946439428033,182.129476
"4",2005,"AUS","IND","India","Australia",4899.710282,"Australia","India",5322.623416,-0.0863139062637337,422.913134
"5",2005,"AUS","JPN","Japan","Australia",24513.204866,"Australia","Japan",21703.96359,0.114601142174455,2809.241276
"6",2005,"AUS","KAZ","Kazakhstan","Australia",31.126871,"Australia","Kazakhstan",8.178351,0.737257529033355,22.94852
"7",2005,"AUS","KHM","Cambodia","Australia",15.571662,"Australia","Cambodia",35.857264,-1.30272555363711,20.285602
"8",2005,"AUS","KOR","Rep. of Korea","Australia",9859.427105,"Australia","Rep. of Korea",8359.626573,0.15211842595189,1499.800532
"9",2005,"AUS","MYS","Malaysia","Australia",2151.333958,"Australia","Malaysia",1917.088198,0.108883959707385,234.24576
"10",2005,"AUS","NZL","New Zealand","Australia",5405.972942,"Australia","New Zealand",6866.766134,-0.270218369139592,1460.793192
"11",2005,"AUS","PHL","Philippines","Australia",577.968619,"Australia","Philippines",645.432184,-0.116725307883887,67.463565
"12",2005,"AUS","RUS","Russian Federation","Australia",244.28216,"Australia","Russian Federation",253.953498,-0.03959084854989,9.67133799999999
"13",2005,"AUS","SGP","Singapore","Australia",3035.818905,"Australia","Singapore",3020.183713,0.00515023869646803,15.6351920000002
"14",2005,"AUS","THA","Thailand","Australia",3244.940435,"Australia","Thailand",3149.680868,0.0293563376302777,95.2595670000001
"15",2005,"AUS","TUR","Turkey","Australia",294.078057,"Australia","Turkey",263.072744,0.105432256035342,31.005313
"16",2005,"AUS","VNM","Viet Nam","Australia",498.534524,"Australia","Viet Nam",509.627346,-0.0222508602032144,11.092822
"17",2005,"CHN","AUS","Australia","China",17341.183139,"China","Australia",11061.500935,0.362125360978232,6279.682204
